Tid[s] Avstand[m]
15300 142890.44128590304
15315 143103.13900568392
15330 143464.75341358266
15345 143864.83443037805
15360 144157.0109523643
15375 144641.23767612086
15390 145183.8714200034
15405 145756.62791276455
15420 146336.3140519813
15435 146786.03396481587
15450 147119.3641014672
15465 147558.7602552965
15480 148068.58424453204
15495 148366.13477805536
15510 148419.87489342553
15525 148422.4204778378
15540 148678.9588180523
15555 149027.70388253353
15570 149309.55664551444
15585 149665.3727778075
15600 150079.87877293912
15615 150647.68551823188
15630 151153.5497094927
15645 151457.3227826905
15660 151603.6938863961
15675 151702.26457169346
15690 151721.7807188543
15705 151798.57251529122
15720 151877.6270534279
15735 151910.43680807488
15750 152007.73470116607
15765 152047.89836633753
15780 152161.74255810867
15795 152241.36278167024
15810 152474.14233403685
15825 152772.96565976623
15840 152930.65047197088
15855 153078.29436788269
15870 153234.84780923728
15885 153340.77240505914
15900 153467.20309753524
15915 153667.314316611
15930 153729.822556068
15945 153826.27192102175
15960 153979.00698575805
15975 154222.8174039112
15990 154364.38018150468
16005 154508.7713862231
16020 154512.44834148526
16035 154602.53374540832
16050 154845.07137135544
16065 155019.3024822398
16080 155263.8200071741
16095 155359.84510805935
16110 155451.7689896135
16125 155630.66700525375
16140 155676.34610331836
16155 155773.21973234104
16170 155936.70282015135
16185 156226.33375772528
16200 156392.07958723546
16215 156436.485893094
16230 156475.37676605923
16245 156662.1943776487
16260 156902.4692618959
16275 157136.8044491811
16290 157311.1769814217
16305 157456.41671427753
16320 157622.86965056873
16335 157708.28814973606
16350 157983.63553033015
16365 158018.70802667705
16380 158385.4136034004
16395 158599.2426940312
16410 158654.3970229638
16425 158722.27927395765
16440 158828.06244842315
16455 158851.9626576272
16470 158907.39982927218
16485 158965.80684939818
16500 159029.72930241746
16515 159123.06739753403
16530 159381.72705809207
16545 159641.94235356868
16560 159919.41105450637
16575 159975.69675428877
16590 160280.17693426769
16605 160338.5839543937
16620 160745.87746035718
16635 161114.42151471163
16650 161461.4695229179
16665 161766.23254560932
16680 162069.15709066964
16695 162371.79879301746
16710 162674.15765265288
16725 162986.69884993735
16740 163248.32835897637
16755 163577.1330122281
16770 163898.30091224308
16785 164148.33387007055
16800 164394.97271534847
16815 164633.12627925214
16830 165059.6530896638
16845 165474.72477022032
16860 165585.5991135104
16875 165645.13750448634
16890 165708.07000801197
16905 165772.84098916865
16920 165832.9450655695
16935 165891.63492840788
16950 165953.29463972742
16965 166015.661457828
16980 166083.26086610946
16995 166152.1330665971
17010 166220.43958165974
17025 166285.06914146018
17040 166352.80997109777
17055 166417.29810954208
17070 166484.47325375478
17085 166550.65844847378
17100 166619.10638489266
17115 166681.19036028086
17130 166738.32458820066
17145 166798.85292867027
17160 166877.76604545067
17175 167007.30800776405
17190 167165.98276946225
17205 167370.0537865127
17220 167566.34662897015
17235 167765.18505583986
17250 167952.70977421047
17265 168130.33499764447
17280 168304.56610852884
17295 168474.69600008233
17310 168664.48346015284
17325 168848.0483805489
17340 168925.2644410545
17355 169200.7532430047
17370 169485.57585446665
17385 169693.46524813553
17400 169904.18306892907
17415 170062.85783062738
17430 170123.66901380953
17445 170172.74222442394
17460 170409.0573106965
17475 170492.35448952025
17490 170534.35663232266
17505 170549.91298150885
17520 170559.2467910204
17535 170575.51024698772
17550 170582.5813147997
17565 170594.74355143603
17580 170626.8461993019
17595 170659.9387966614
17610 170669.83829159802
17625 170685.11179807162
17640 170705.19363065725
17655 170743.23597548512
17670 170744.65018904756
17685 170768.55039825177
17700 170806.87558579203
17715 170868.25245439904
17730 170926.2352104563
17745 170996.0973604376
17760 171012.50223776104
17775 171026.07868795985
17790 171058.32275718194
17805 171098.91068642208
17820 171139.49861566222
17835 171177.54096049006
17850 171219.26026058014
17865 171246.1303182652
17880 171286.15256208045
17895 171298.03195600427
17910 171366.62131377944
17925 171409.89624878808
17940 171455.99961092146
17955 171465.05057772066
17970 171487.39515200627
17985 171511.86104663523
18000 171526.9931317526
18015 171533.49851413956
18030 171552.73181858775
18045 171557.3987233436
18060 171610.57315328883
18075 171669.12159477113
18090 171768.54080820593
18105 171822.84660900108
18120 171871.2127128342
18135 171949.13588012097
18150 172010.22990601548
18165 172102.0123662135
18180 172178.6627412942
18195 172252.3432678938
18210 172264.92976859893
18225 172365.19751017125
18240 172474.51621854265
18255 172594.30010727566
18270 172725.2562831514
18285 172745.19669438087
18300 172860.4550997143
18315 172971.4708643605
18330 173055.3337286093
18345 173122.93313689076
18360 173164.22817291206
18375 173255.30352632882
18390 173366.31929097517
18405 173470.82967323446
18420 173552.85405985214
18435 173628.37306408287
18450 173640.53530071923
18465 173692.86120252707
18480 173739.53025008537
18495 173812.22082719134
18510 173844.32347505732
18525 173931.15618778695
18540 174042.73763785823
18555 174047.26312125783
18570 174170.29970118427
18585 174282.44683668044
18600 174343.82370528748
18615 174423.16108613665
18630 174511.54943378488
18645 174594.13950582757
18660 174654.1021608723
18675 174721.98441186614
18690 174759.60249262524
18705 174786.4725503103
18720 174884.76039289532
18735 174986.44234802996
18750 175132.1063449544
18765 175235.90962043253
18780 175339.43005319824
18795 175441.5362724015
18810 175544.4910197422
18825 175651.26414370153
18840 175749.1277222177
18855 175819.41413626756
18870 175869.9015604443
18885 175914.59070901538
18900 175916.57060800263
18915 175946.26909281246
18930 175963.66391962956
18945 175997.0393597016
18960 176063.6488184894
18975 176153.45137970004
18990 176213.41403474464
19005 176285.53892642568
19020 176396.13042700329
19035 176514.78294488636
19050 176604.30266338456
19065 176696.79223036373
19080 176797.34281464858
19095 176907.36862980115
19110 177002.1209384802
